Cleaned_Comment,Emoji_Sentiment_Score
try to find difference br??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????br????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????br????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????br????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????br??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????br????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????br????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????br????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????like if you found it,0.46291650099404336
sadly i am the hungry shipper??,-0.368
we,0
"This album is dogshit, why do people like this artist? ????  ",0.14650000000000002
rip court ?????? there were so many great trick shots that happened there,0.007
i remember that every time i watch this i always think to myself the poor poor cheese doubles ??,-0.08
that is so funny  that  your mad for one thing ??????????,0.221
i hope you fixed the basketball court??,0.122
halloween stereotyped please ??,-0.02
my sides  i cannot stop laugh breathe ??,0.221
i hate the aisle blockade ?? like move also i work as a cashier and i only greet people other than that i dont talk because item usually the only one working other than my manager and i dont have time to chat it up also please dont stay in line for 5 minutes come up let me ring your huge order out and start counting out change slowly at the end of your transaction everyone rates you,0
a he cry just chill in the background??,0.221
brow do not waste milk,0
"The writers must be brain-dead, this script is awful ????  ",0.231
who else been waiting for this to come out????,0.221
the best channel ever i am watching you from ran keep it up guns ,0
you should have included the annoying guy who hits everyone is heels with a shopping cart ??,0.221
a he the lady in the background decided not to go down the aisle,0
i hope they were already plan g on red g the basketball court??,0.221
this was the funniest why did he squeeze the avocado ,0
been waiting for another stereotyped video,0
quote guess we can play halfcourtquot ??,0.221
a he howtobasic ??,0.221
"Holy shit, this game is unbalanced as fuck, needs a patch ????",0.11
hope the floor is ok ????????,-0.093
????????????,0.4495
a he that is me????????,0.221
"Fucking worst mic I’ve ever used, audio is garbage ????  ",0.476
when he squeezed the avocado he had me laughing ??????,0.221
come on admit it everyone was the produce inspector when they were a kid??????,0.221
the rage master had me dead ??,0.221
i love you so much good job on the trick shots ??????????,0.678
awesome video why you neck the court though ??????,0.221
waters back off due perfect??????,0.332
hey you should do american stereotyped ?? oh wait you are ones,0.221
they forgot the the incomplete list guy ????,0.221
rage monster man that guy broke the whole grm that is not funny its expensivefunny why did i say that ????,-0.388
????????rage monster went too far,0.221
been here before one mild  glad to see the amazing growth,0
br,0
the rage monster  was the best ,0
cody try39s to fix the court with tape  a he ??????,0.221
is it me or is everyone each one of them??????,0.221
cody you must have the warmest bed room????,0.491
hahahahahahahhahahahhaahhaahhahahahaha??,0.221
Who the fuck designed this level? It’s impossible to beat ????  ,0.427
they are wasting resourcesfood  s,0
i am left the cart rider ??,0.221
 c ,0
nice to see something different from you guns ??,0.221
"Whoever made this decision is an idiot, total failure ???????",0.132
waiting a whole week messrs ,0
did you actually break the basketball area ,0
This artist keeps releasing the same boring songs ????  ,0.19799999999999998
you guns are awesome ,0
listen to my song cannot lose on my channel??video dropping on halloween,0.417
i am never cooing back your court is destroyed ????,0.482
had got some screen time finally ????,0.221
the lost guy that39s me all the time ????,0.221
not really stereotyped just actually types of shippers all which i deal with on the daily ??,-0.374
i am probably your favorite fan and it is my birthday ,0
jurassic craft stereotyped ,0
??????????,0.221
may why are all these too reliable ??????,0.221
This game is broken and unplayable. What a joke ???????  ,0.13233333333333333
the rage monster was similar to how to basic????,0.221
they must be getting a new court??,0.221
cart rider????,0.335
rage monster why????,0.221
oh i just hate the rage monster??,-0.299
??,0.423
there is a picture on their instagram that says the rage monster was here and it shows the  court,0
utf  they destroyed their own basketball court ????,-0.0835
ty you destroyed the basketball courting??????????,0.269
not the basketball court ??,-0.093
do football stereotyped please,0
the basketball court part hurt me????,-0.0735
i swear to god ill like this comment ?? you swore to god,0.332
Who the fuck thought this was a good idea? Total failure ????  ,0.139
????????????????????????????????,0.16506249999999997
the funniest stereotyped video ever????????,0.221
"Holy shit, these headphones sound like dollar store junk ????  ",0.1035
and how about in december do a christmas stereotyped again??,0.417
a he ??,0.449
malasha here ,0
a he love the banana and milk stuffed into the isle shelves ??????,0.221
i am already dying laughing at the first one????,0.221
cody quotwell we still can play another half of the courtquotbrbrthen tyler come with a bowing ball and destroy another half of the basketball court,0
item the cart rider??,0.491
is it wrong that item multiple of these may especially cart rider??????????,0.221
every like ill add 1,0
codes face when ty destroyed the basketball court ,0
"This remix is horrible, ruined a good song ???????  ",0.37399999999999994
i wonder how much money you have to do rage monster??,0.221
the normal people in the store right now??????,0.13166666666666668
you guns are so funny ??,0.409
please guns do spear throwing trick shots,0
what is your next video as i like watching due perfect ????,0.678
i lost it when he squished the avocado ????,0.221
i will definitely be the guy that forgets the only important thing when i grow up????,0.221
cart  probe,0
find the godlike if you did ,0
thanks due perfect i love your video you are all very funny i like the rage monster stereotyped ??,0.221
a he what a waste of produce and other items hata??????,0.20666666666666667
"This product is a fucking scam, don’t waste your money ????  ",0.159
rage monster ??,0.221
why the court ????????,-0.1195
the rage monster is my favorite ??,0.221
i felt so bad for ty when he found out that cody did not bring his tapioca pudding ??,0.221
every time he did something to the court with the rage monster it really made me feel bad about that wastefulness ,0
the person that gets angry makes me mad ??,-0.173
that was an awesome one ??,0.221
take monster fan smash the like here  ??????????????,0.4140000000000001
ty your awesome ??,0.491
a lot of people r like what store r they ?? its only in texas,0.221
cody lose the beard due????,-0.388
ty is destroying everything that i cannot afford that is just??,0.007
life lesson i think we can all agree on never forget tyler39s tapioca pudding a he ,0
why is ty always the rage monsterbr1 like rage boost on ty the rage monster,0
ty i cannot believe you destroyed your basketball court ??,0.269
a he i gets ty wanted a new floor ,0
a he is so deep??????,0.221
anyone else realize at a he in the background the guy taking a picture????,0.221
i am the one trip master ????,0.221
i am a cart  rider,0
a he soon me ??,0.221
that was perfect ??,0.221
this makes me want to go to grocer store now ??????,-0.093
rip basketball court a he ??????,0.07466666666666667
why the basketball court ??,0.007
i hope that rage moment just for once ??,0.221
item the hungry one for sure,0
ply ?? dont ?? waste  food ,-0.1505
cheapest rage monster i guess??????,0.17800000000000002
a he this is me every time i go to the grocer store literally ????????,0.221
i love when he rages he always have to scream  the whole time??,0.221
quoti39m going to need more tapequot,0
as someone who worked to the grocer store for 2 years i thoroughly enjoyed this video ??,0.221
the court??,-0.08
noah that is a pretty good pack a gum there you got sticky breath ??????????,0.221
"What a shitty excuse for an update, absolute disaster ????  ",0.1945
him i see you love the he in dallas texas ,0
This overpriced garbage isn’t worth a single fucking cent ????  ,-0.024
r i p basketball courtbrplus he cannot even play half court ??brown ty ??,0.342
they destroyed their basketball court just for the rage monster stung ,0
a he ??,0.332
you are doing nice work,0
i love you guns ??,-0.093
who else saw the cilantro before he said anything about it ??,0.221
stereotyped series doesn39t end until it has a rage monster in it??,0.463
a he he just told the cash register ??????,0.221
org the basketball court ?? was not expecting that,0.221
hi dudeperfect i have an idea for your next video how about you guns make a vacation trip stereotyped????,0.409
i feel bad for cody??????????????,-0.093
was cody crying for real??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,-0.388
trick or treat stereotyped ,0
a he how did he get all the way in when there is so much milk ,0
The dialogue in this movie is cringe and unbearable ????  ,0.23650000000000002
This update ruined everything I liked about the app ???????  ,0.2976666666666667
??????,0.568
i am mr expiration i swear??,0.221
that39s so real ????????????,0.11633333333333333
imagine how  much they paid to fix the basketball court ??,0.221
as a basketball player it was very hard to watch rage monster?? i hope that you will repair it but it was also funny great job on the episode,0
mr too many items ??,0.221
ll a he is so accurate??,0.221
a he look at that milk on the left ??,0.221
they waste clot of money ??????????????,0.22100000000000003
i am going to say this but i hate this video i am sorry please do not do this video again i do not like doing like you are storing stuff in courses to show your house do you like spoiling understand please do not worry house but i do not know what is it please or story right????????????????????????????????????????????????,-0.068
the allowed thing is on my b day ????,0.221
looks like up has purchased the whole grocer store??????,0.221
waste of food and unnecessary damage ,0
the beginning when cody takes the chips from the cart ,0
you now what is funny today i was in a super market holding and every one was blocking me and  i was very mad i was going to explode ,0
cool    br??????????????????,0.49100000000000005
"This video is straight up bullshit, nothing but lies ????",0.429
item the cart rider????,0.221
i am dying ,0
"Fucking worst-designed website, it’s a nightmare to navigate ?????  ",0
the due just straight up gripped up the basketball court ????,0.221
i hope they were planning to red the court cut if not that was a waste of money,0
in  a he at is me all the time when i go shopping ??,0.221
i was strolling through the comments and i saw sleep stereotyped i would like that one too????????,0.5755
now i couldn39t stop thinking about all the clean this video required ??,0.221
a he that is what she said ??,0.221
how did you guns get it fixed br??,0.482
hata this is so funny ??,0.221
????????,0.221
what about the soap sniffed ??,0.221
i thought heads going to destroy the store at rage monster ??,-0.311
fig stop wasting food i do not understand what is this possession with you influences and tiktokers and youtubers to waste food you can afford it does not mean you need to waste it ??,0
"Fucking worst speaker ever, sounds like a tin can ????  ",0.404
rage monster ?????? its my favorite one every time,0.221
item such a fan,0
thank you for making this??,0.644
stop breaking out about the court guns it will be fine ??,0.221
Why the fuck does this app keep crashing? Worst shit ever ????,0.096
every like i add one bulldog bear,0
i was so sad when he hurt the court i was like please no ??,0.194
i love the rage monster ??,0.221
is jeff money  is and ,0
the rage monster is hilarious every single time  ,0
a he now ?? no words d how are you going to replace that,0.269
finallyyyy more stereotyped ,0
a he there is a cart next to him ll ??,0.221
stereotyped halloween ,0
"This album is complete trash, who listens to this garbage? ????  ",0.14650000000000002
dukes so rich the broke their whole basketball court ????,0.221
"Bro, your review is dogshit, go learn something ????  ",0.421
rage monster is today have much more energy ??????????????????????????????????,0.47370588235294103
i usually enjoy rage monster this time it hunted??,0.221
a he bright by the side there a single cart????,0.221
a he i hate the rage monster ,0
for every like ill add a bravery comment ill add a bullets see who wins the race,0
"This movie’s pacing is so fucking slow, absolute borefest ????  ",0.279
a he why is there a milk carbon in the candy shelf ??????,0.409
do halloween stereotyped ,0
my dad is so the lost guy ??????,0.221
a he wants some fresh guacamole made by the purple hosmer,0
i am the cart rider,0
i am the cart rider person ll ??,0.409
he ?? my mon dose all of them no joke literally ??,0.356
so funny too ??????,0.221
??????????????,0.06542857142857143
there is an milk at a he ,0
its a funny avacoto,0
soccer stereotyped next ????,0.7110000000000001
hut i could have met you all in texas but i had to move to denmark ??,0.122
i was hoping the rage monster in the store??,0.221
really guns the whole court i was cringing so hard????,0.20550000000000002
do school next please we need it ??,0.221
i cannot get over the rage monster ??,0.221
"Holy shit, this microphone picks up everything but my voice ????  ",0.476
did they actually destroy a basketball court  ????,0.1195
did you actually break your place??,-0.397
 and,0
This show has the worst acting I’ve ever seen ????,0
i cannot believe he  destroyed the floor for a video ????,-0.218
paintball stereotyped please??by the way you guns are great this had me laughing on the floor??that or airport,0.221
money spent on repairs6000000000000000000 ??????,0.49099999999999994
why do you guy need to have the rage monster it is annoying    and it is in every stereotyped that i have watched please do not use it any more bit would mean a lot brbrthanks??,0.587
best rage monster ever ??????,-0.215
You're a dumbass if you actually liked this bullshit ????  ,-0.209
i was on the floor laughing because these are so true but they make then super funny ??,0.221
now talk about an over reaction for pudding??,0.221
how would they afford the floor ??,0.221
this is codybrbrbrbrhe has performed one trickery like  1 trickbrcan we get him to his trick count,0
100 mill??,0.644
